"Código.Partido","Nombre.Partido","etiqueta_partido"
8004,"PACTO HISTORICO","IZQUIERDA"
8535,"PACTO HISTORICO","IZQUIERDA"
8597,"PACTO HISTORICO","IZQUIERDA"
5039,"PACTO HISTORICO","IZQUIERDA"
8599,"PACTO HISTORICO","IZQUIERDA"
8600,"PACTO HISTORICO","IZQUIERDA"
7898,"PACTO HISTORICO","IZQUIERDA"
8603,"PACTO HISTORICO","IZQUIERDA"
8619,"PACTO HISTORICO","IZQUIERDA"
8013,"PACTO HISTORICO","IZQUIERDA"
8268,"PACTO HISTORICO","IZQUIERDA"
7930,"PACTO HISTORICO","IZQUIERDA"
8015,"PACTO HISTORICO","IZQUIERDA"
8313,"PACTO HISTORICO","IZQUIERDA"
8051,"PACTO HISTORICO","IZQUIERDA"
8593,"PACTO HISTORICO","IZQUIERDA"
7972,"PACTO HISTORICO","IZQUIERDA"
8252,"PACTO HISTORICO","IZQUIERDA"
8356,"PACTO HISTORICO","IZQUIERDA"
8136,"PACTO HISTORICO","IZQUIERDA"
8105,"PACTO HISTORICO","IZQUIERDA"
8320,"PACTO HISTORICO","IZQUIERDA"
8100,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8312,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8283,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
7991,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8139,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8050,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8037,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8065,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
7987,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8092,"PACTO HISTORICO COLOMBIA PUEDE","IZQUIERDA"
8240,"PACTO HISTORICO COLOMBIA PUEDE TIMBIO","IZQUIERDA"
8196,"PACTO HISTORICO MORALES CAUCA","IZQUIERDA"
8291,"PACTO HISTORICO SUCRE","IZQUIERDA"
8018,"PACTO HISTORICO-COLOMBIA PUEDE","IZQUIERDA"
8363,"PACTO HISTÓRICO","IZQUIERDA"
8372,"PACTO POLO - INDEPENDIENTE","IZQUIERDA"
6538,"PACTO POR UN CALOTO GRANDE","IZQUIERDA"
7514,"PAEZ EL CAMBIO NOS UNE","INFORMACIÓN INSUFICIENTE"
6,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""","INFORMACIÓN INSUFICIENTE"
4,"PARTIDO ALIANZA VERDE","INFORMACIÓN INSUFICIENTE"
3,"PARTIDO CAMBIO RADICAL","DERECHA"
7703,"PARTIDO CAMBIO RADICAL Y PARTIDO POLITICO MIRA","INFORMACIÓN INSUFICIENTE"
11,"PARTIDO CENTRO DEMOCRÁTICO","DERECHA"
14,"PARTIDO COLOMBIA JUSTA LIBRES","CATÓLICOS/CRISTIANOS"
15,"PARTIDO COLOMBIA RENACIENTE","INFORMACIÓN INSUFICIENTE"
22,"PARTIDO COMUNISTA COLOMBIANO","IZQUIERDA"
2,"PARTIDO CONSERVADOR COLOMBIANO","PARTIDO TRADICIONAL"
8359,"PARTIDO DE LA U Y EL PARTIDO POLITICO MIRA","DERECHA"
7736,"PARTIDO DE LA U Y PARTIDO LA FUERZA DE LA PAZ","DERECHA"
5803,"PARTIDO DE LA U Y PARTIDO LIBERAL COLOMBIANO","DERECHA"
8304,"PARTIDO DE LA U-PARTIDO MIRA","DERECHA"
8,"PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U","DERECHA"
35,"PARTIDO DEL TRABAJO DE COLOMBIA","IZQUIERDA"
24,"PARTIDO DEMÓCRATA COLOMBIANO","INFORMACIÓN INSUFICIENTE"
25,"PARTIDO ECOLOGISTA COLOMBIANO","INFORMACIÓN INSUFICIENTE"
7691,"PARTIDO INDEPENDIENTES - PARTIDO MIRA","INFORMACIÓN INSUFICIENTE"
1,"PARTIDO LIBERAL COLOMBIANO","PARTIDO TRADICIONAL"
23,"PARTIDO LIGA GOBERNANTES ANTICORRUPCIÓN - LIGA","EX-MILITANTES DE GRUPOS ARMADOS"
19,"PARTIDO NUEVO LIBERALISMO","NI DERECHA, NI IZQUIERDA"
6091,"PARTIDO NUEVO LIBERALISMO - MIRA","NI DERECHA, NI IZQUIERDA"
9,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","IZQUIERDA"
33,"PARTIDO POLÍTICO CREEMOS","INFORMACIÓN INSUFICIENTE"
17,"PARTIDO POLÍTICO DIGNIDAD & COMPROMISO","INFORMACIÓN INSUFICIENTE"
30,"PARTIDO POLÍTICO ESPERANZA DEMOCRÁTICA","INFORMACIÓN INSUFICIENTE"
36,"PARTIDO POLÍTICO GENTE EN MOVIMIENTO","INFORMACIÓN INSUFICIENTE"
26,"PARTIDO POLÍTICO LA FUERZA DE LA PAZ","INFORMACIÓN INSUFICIENTE"
7,"PARTIDO POLÍTICO MIRA","CATÓLICOS/CRISTIANOS"
32,"PARTIDO POLÍTICO TODOS SOMOS COLOMBIA","INFORMACIÓN INSUFICIENTE"
10,"PARTIDO UNIÓN PATRIÓTICA ""UP""","EX-MILITANTES DE GRUPOS ARMADOS"
21,"PARTIDO VERDE OXÍGENO","INFORMACIÓN INSUFICIENTE"
5985,"PCC - COLOMBIA JUSTA LIBRES -FUERZA DE LA PAZ - PIENDAMO","PARTIDO TRADICIONAL"
7351,"POR EL SUAREZ QUE SOÑAMOS","INFORMACIÓN INSUFICIENTE"
6378,"QUILICHAO SOMOS TODOS","INFORMACIÓN INSUFICIENTE"
6094,"SI, EL PODER DE LA GENTE","INFORMACIÓN INSUFICIENTE"
6145,"SI, EL PODER DE LA GENTE","INFORMACIÓN INSUFICIENTE"
6871,"SOMOS LA FUERZA DEL PUEBLO","INFORMACIÓN INSUFICIENTE"
7505,"TIMBIQUI NOS UNE","INFORMACIÓN INSUFICIENTE"
6566,"TRANSFORMANDO JUNTOS","INFORMACIÓN INSUFICIENTE"
7769,"U, NUEVO LIBERALISMO, MIRA","DERECHA"
7483,"UN ACUERDO POR EL CAUCA","INFORMACIÓN INSUFICIENTE"
6174,"UNIDAD ENTRE INDIGENAS Y CAMPESINOS DEL MUNICIPIO DE CALDONO","INFORMACIÓN INSUFICIENTE"
7142,"UNIDAD SOCIAL POR GUACHENÉ","INFORMACIÓN INSUFICIENTE"
5680,"UNIDOS EN LA DIVERSIDAD","INFORMACIÓN INSUFICIENTE"
6265,"UNIDOS POR ARGELIA","INFORMACIÓN INSUFICIENTE"
5999,"UNIDOS POR EL CAUCA","INFORMACIÓN INSUFICIENTE"
6506,"UNIDOS POR EL TAMBO","INFORMACIÓN INSUFICIENTE"
6700,"UNIDOS POR ROSAS (PARTIDO DE LA U- MIRA)","DERECHA"
6540,"UNION POR EL FUTURO","INFORMACIÓN INSUFICIENTE"
7154,"VILLA RICA SE DIGNIFICA CON INCLUSION, PROPOSITO Y PROGRESO","INFORMACIÓN INSUFICIENTE"
