ano,tipo_eleccion,codmpio,municipio,porc_afrocolombianos,porc_campesinos,porc_católicos/cristianos,porc_derecha,porc_ex-militantes_de_grupos_armados,porc_indígenas,porc_información_insuficiente,porc_izquierda,porc_mujeres,"porc_ni_derecha,_ni_izquierda",porc_partido_tradicional,lag_1_porc_afrocolombianos,lag_1_porc_campesinos,lag_1_porc_católicos/cristianos,lag_1_porc_derecha,lag_1_porc_ex-militantes_de_grupos_armados,lag_1_porc_indígenas,lag_1_porc_información_insuficiente,lag_1_porc_izquierda,lag_1_porc_mujeres,"lag_1_porc_ni_derecha,_ni_izquierda",lag_1_porc_partido_tradicional,fragmentacion,dominancia
1994.0,Alcaldía,19001.0,POPAYAN,0.0,0.0,0.0,0.0,0.0,0.0,6.874350460064384,0.0,0.0,0.0,93.12564953993562,0.0,0.0,0.0,0.0,0.0,0.0,25.826454765718037,0.0,0.0,0.0,74.17354523428196,1.146835903715668,93.12564953993562
1997.0,Alcaldía,19001.0,POPAYAN,12.091247307616996,0.0,0.0,0.26760655309705633,0.0,7.093205404346975,7.4734025194177915,0.0,0.0,0.0,73.07453821552117,0.0,0.0,0.0,0.0,0.0,0.0,6.874350460064384,0.0,0.0,0.0,93.12564953993562,1.7881655674933887,73.07453821552117
2000.0,Alcaldía,19001.0,POPAYAN,0.0,0.0,0.0,24.636274152879466,0.0,0.0,12.476571875463506,7.142375578118469,0.0,37.66028882326767,18.08448957027089,12.091247307616996,0.0,0.0,0.26760655309705633,0.0,7.093205404346975,7.4734025194177915,0.0,0.0,0.0,73.07453821552117,3.907821530325347,37.66028882326767
2003.0,Alcaldía,19001.0,POPAYAN,0.0,0.0,1.5144549669657048,24.79476705239515,0.0,0.0,18.03685655366267,0.0,0.0,36.35085967977093,19.30306174720555,0.0,0.0,0.0,24.636274152879466,0.0,0.0,12.476571875463506,7.142375578118469,0.0,37.66028882326767,18.08448957027089,3.7930577000684154,36.35085967977093
2007.0,Alcaldía,19001.0,POPAYAN,0.0,0.0,9.930078833727679,0.0,0.0,3.791021655402179,11.472800772421989,4.515697779286783,0.0,0.0,70.29040095916137,0.0,0.0,1.5144549669657048,24.79476705239515,0.0,0.0,18.03685655366267,0.0,0.0,36.35085967977093,19.30306174720555,1.9209581572704235,70.29040095916137
2011.0,Alcaldía,19001.0,POPAYAN,0.0,0.0,9.029022834208538,12.090572356865279,0.0,14.244760145250684,11.54724742671484,1.5735490858125756,0.0,11.27512991563447,40.239718235513614,0.0,0.0,9.930078833727679,0.0,0.0,3.791021655402179,11.472800772421989,4.515697779286783,0.0,0.0,70.29040095916137,4.323769305663676,40.239718235513614
2015.0,Alcaldía,19001.0,POPAYAN,0.0,0.0,0.0,0.09519838241426244,0.0,0.0,99.90480161758573,0.0,0.0,0.0,0.0,0.0,0.0,9.029022834208538,12.090572356865279,0.0,14.244760145250684,11.54724742671484,1.5735490858125756,0.0,11.27512991563447,40.239718235513614,1.0019057801913964,99.90480161758573
2019.0,Alcaldía,19001.0,POPAYAN,1.795813002670964,0.0,0.0,46.17261291911008,0.0,8.01886088604384,15.731829237357687,0.0,0.0,19.52042019189161,8.760463762925824,0.0,0.0,0.0,0.09519838241426244,0.0,0.0,99.90480161758573,0.0,0.0,0.0,0.0,3.4426723323527426,46.17261291911008
1994.0,Asamblea Departamental,19001.0,POPAYAN,0.0,0.0,0.0,0.0,6.6506049614783835,5.806041672182362,26.710968732625563,0.0,0.0,0.34153186306955075,60.490852770644146,0.0,0.0,1.5110004151100043,0.0,8.227480282274803,3.416355334163553,38.35201328352013,0.32793690327936903,0.0,0.0,48.16521378165214,2.246849475058675,60.490852770644146
1997.0,Asamblea Departamental,19001.0,POPAYAN,0.0,0.0,0.0,2.395771851692869,0.7766807962654934,2.5124751837742125,43.8724043569244,2.0791972957020977,0.0,0.0,48.36347051564093,0.0,0.0,0.0,0.0,6.6506049614783835,5.806041672182362,26.710968732625563,0.0,0.0,0.34153186306955075,60.490852770644146,2.33601649340196,48.36347051564093
2000.0,Asamblea Departamental,19001.0,POPAYAN,0.39732386673948666,0.0,4.246313489896232,6.1701256144183505,0.0,7.106772255598035,36.01174221736756,7.726652102676133,0.0,1.568814855270344,36.77225559803386,0.0,0.0,0.0,2.395771851692869,0.7766807962654934,2.5124751837742125,43.8724043569244,2.0791972957020977,0.0,0.0,48.36347051564093,3.548650797679249,36.77225559803386
2003.0,Asamblea Departamental,19001.0,POPAYAN,2.2754822388531677,0.0,6.39032360071677,5.502266259091388,2.571940550226626,7.906872562453884,51.285970275113314,0.0,0.0,2.279435016338147,21.787709497206702,0.39732386673948666,0.0,4.246313489896232,6.1701256144183505,0.0,7.106772255598035,36.01174221736756,7.726652102676133,0.0,1.568814855270344,36.77225559803386,3.0716555588580734,51.285970275113314
2007.0,Asamblea Departamental,19001.0,POPAYAN,2.3434744974834096,0.0,8.209106744034452,5.749153121961124,0.0,3.185543765160987,34.80161147265947,5.81968176620823,0.0,12.577608224067365,27.313820408424967,2.2754822388531677,0.0,6.39032360071677,5.502266259091388,2.571940550226626,7.906872562453884,51.285970275113314,0.0,0.0,2.279435016338147,21.787709497206702,4.414341328643616,34.80161147265947
